🔄 GitHub GraphQL processing started: 0/1030 repositories (progress every 100)
🔄 GitHub GraphQL processing: 0/1030 repositories processed
🔄 GitHub GraphQL progress: 100/1030 (total_cost=99 avg_cost=1.00 remaining=4670 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 200/1030 (total_cost=198 avg_cost=1.00 remaining=4562 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 300/1030 (total_cost=296 avg_cost=1.00 remaining=4452 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 400/1030 (total_cost=396 avg_cost=1.00 remaining=4360 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 500/1030 (total_cost=496 avg_cost=1.00 remaining=4257 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 600/1030 (total_cost=595 avg_cost=1.00 remaining=4161 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 700/1030 (total_cost=695 avg_cost=1.00 remaining=4058 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 800/1030 (total_cost=793 avg_cost=1.00 remaining=3963 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 900/1030 (total_cost=893 avg_cost=1.00 remaining=3860 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1000/1030 (total_cost=991 avg_cost=1.00 remaining=3761 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
✅ GitHub GraphQL processing completed: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
STATUS      PURL                                                                RELATION  LIFECYCLE
✅ ok        pkg:npm/%40babel/helper-function-name@7.19.0                        direct    Active
✅ ok        pkg:npm/%40babel/helper-hoist-variables@7.18.6                      direct    Active
✅ ok        pkg:npm/%40babel/helper-module-imports@7.18.6                       direct    Active
✅ ok        pkg:npm/%40babel/helper-module-transforms@7.20.11                   direct    Active
✅ ok        pkg:npm/%40babel/helper-plugin-utils@7.20.2                         direct    Active
✅ ok        pkg:npm/%40babel/helper-simple-access@7.20.2                        direct    Active
✅ ok        pkg:npm/%40babel/helper-split-export-declaration@7.18.6             direct    Active
✅ ok        pkg:npm/%40babel/helper-string-parser@7.19.4                        direct    Active
✅ ok        pkg:npm/%40babel/helper-validator-identifier@7.19.1                 direct    Active
✅ ok        pkg:npm/%40babel/helper-validator-option@7.18.6                     direct    Active
✅ ok        pkg:npm/%40babel/helpers@7.20.13                                    direct    Active
✅ ok        pkg:npm/%40babel/highlight@7.18.6                                   direct    Active
✅ ok        pkg:npm/%40babel/parser@7.20.15                                     direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-async-generators@7.8.4               direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-bigint@7.8.3                         direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-class-properties@7.12.13             direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-import-meta@7.10.4                   direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-json-strings@7.8.3                   direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-logical-assignment-operators@7.10.4  direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-nullish-coalescing-operator@7.8.3    direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-numeric-separator@7.10.4             direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-object-rest-spread@7.8.3             direct    Active
✅ ok        pkg:npm/%40babel/plugin-syntax-optional-catch-binding@7.8.3         direct    Active
